"","0","","1","","Total",""
"","mean","variance","mean","variance","mean","variance"
"remesas_pre_avg","141.7859","20316.22","13.03504","1709.188","14.19895","2017.283"
"log_remesas_pre_avg","4.369405","1.45298","1.27078","2.120464","1.298792","2.199851"
"viv_emig_00","3.718045","7.637646","6.463784","47.85334","6.438962","47.55391"
"viv_emig_10","1.33114","1.104276","3.906314","17.32986","3.883034","17.24208"
"im_2000","-1.304007",".4378256",".0319763",".9568573",".0198938",".9679755"
"im_2010","-1.293374",".338925",".0311842",".9558916",".0192102",".9658896"
"poblacion_2010","543080.1","2.48e+11","43843.36","3.34e+10","48356.48","3.75e+10"
"densidad","1304.217","4882693","222.9016","493410.3","232.6767","541482.8"
"pea_pct","56.42373","5.369791","47.76286","73.17003","47.84116","73.22679"
