"","mean","min","max","variance","p1","p5","p10","p50","p90","p95","p99"
"w1_1",".0232458",".0052688","7.519736",".0371924",".0052688",".005269",".0052693",".005346",".0096179",".0161557","1"
"w1_2",".0232458","3.20e-11","2.798896",".0274261","1.14e-10","4.87e-09","6.29e-08",".0000915",".003953",".0098061","1"
"w1_3",".0232558","5.20e-38","3.080804",".0289599","1.02e-22","1.74e-15","3.25e-12","7.73e-06",".0033128",".0124879","1"
"w1_4",".0232458","5.26e-53","4.209103",".031064","1.17e-30","1.75e-19","1.15e-14","2.08e-06",".0019505",".0093344","1"
