year,beta,se,pct,ci_low,ci_high
2013,0.40738763903094255,0.07075368637216925,50.288657025536196,30.827956115571233,72.64414350849104
2014,0.37403361962089793,0.05966489370771401,45.35860186462723,29.31648382966077,63.390795282301916
2015,0.3431635840331244,0.06895487356037161,40.939929829139984,23.123104110251624,61.334982282898395
2016,0.257695625087897,0.055260525038337054,29.394491431042404,16.11222406134436,44.19613910635702
2017,0.21105936406806575,0.05601831044844423,23.49856666585113,10.657038958664412,37.83032793979761
2018,0.17481517635288177,0.05257386846658165,19.10260664870893,7.441065960884785,32.0298787400477
2019,0.16912490242349745,0.04564607532898746,18.42680476359191,8.291907121824927,29.51021419113382
2020,0.09970037568902161,0.03384795875434376,10.483983160406085,3.3922266278938684,18.062169015089992
2021,0,0,0,0,0
2022,0.07201272689190323,0.04630902962162498,7.466902117324414,-1.8576591367191808,17.67739539434201
2023,0.1512099923249821,0.07115816665037449,16.324090409799407,1.1811762859207375,33.733313906433146
2024,0.10209629817982661,0.0722073313083844,10.749011587536717,-3.8660323152142517,27.585949722092494
