year,beta,se,pct,ci_low,ci_high
2013,0.023973196957991327,0.01393681906713485,2.426286416212542,-0.33368866501048977,5.262691159042765
2014,0.02130342897811137,0.009350521500866519,2.153196701735749,0.29811785004036917,4.042586442007834
2015,0.002017193054404526,0.016798321735371435,0.20192289570200028,-3.043417671223503,3.555891831556779
2016,0.0041836883236643675,0.011839101570703075,0.4192452165123983,-1.8840775633135687,2.7766397075989824
2017,-0.0037147984742814982,0.014815016668355146,-0.3707907146368372,-3.222116841114586,2.5645428359978073
2018,-0.0030613018454717436,0.014195914831291805,-0.30566208388536076,-3.041272104461501,2.5071309025475497
2019,8.632302671357163e-4,0.010665507780364165,0.086360295761434,-1.9841299222275843,2.2005876120324563
2020,0.00392016595623485,0.007814391420987193,0.39278598573015966,-1.133107406688827,1.9422297354422025
2021,0,0,0,0,0
2022,5.73208401188268e-4,0.0046283256491214545,0.0573372716518028,-0.8462136031220369,0.9691218630891285
2023,0.01175518066319311,0.005806664701675541,1.1824544327081243,0.037439704669472995,2.3405748412929306
2024,0.021528041211199687,0.005949611176899452,2.176144136404834,0.9915857101743253,3.3745965782138176
