year,beta,se,pct,ci_low,ci_high
2016,0.0054716383892695255,0.01240949759018305,0.548663514239478,-1.8673969871561558,3.0242083069632164
2017,-0.0016905372809610311,0.015503738844437258,-0.16891091277073667,-3.156828740559381,2.911193620900354
2018,-0.0013385608082222347,0.014840444317696887,-0.13376653352964452,-2.9967106452036596,2.813674186878834
2019,0.0027387690893083162,0.011192680312568063,0.27425229435682486,-1.9015364102563215,2.4982992113199654
2020,0.003717271377504109,0.008020514857903926,0.3724188999654876,-1.1930904419440447,1.962732372583753
2021,0,0,0,0,0
2022,6.131839888507892e-5,0.004708743378712308,0.006132027889660385,-0.9125754264677766,0.9333574489852836
2023,0.007995513298674489,0.005707487778449448,0.8027562775525299,-0.3185871496244719,1.9367140030798202
2024,0.0201497270458508,0.006050273774806207,2.0354103195674655,0.8325877276294635,3.2525812707044244
