year,beta,se,pct,ci_low,ci_high
2013,0.02086512389110711,0.014302211622688287,2.1084322469284045,-0.714107626335081,5.011212435766432
2014,0.01993256607528873,0.009903910379970507,2.0132546165948284,0.05213943032149615,4.0128094883734144
2015,0.0011417082233932162,0.01738360119578912,0.11423602203333161,-3.2393249801170088,3.584025764762777
2016,0.005494993120373876,0.012461255976932865,0.5510118286607524,-1.8750598475015812,3.037066458888904
2017,-0.0017017638723335784,0.015577109614429478,-0.17003166932304525,-3.1718412374011296,2.9248382315978594
2018,-0.001347671418022693,0.014910534568421537,-0.1346763716704058,-3.0109191291127546,2.8268623007909888
2019,0.002748341963873165,0.011241018158688183,0.27521221179069855,-1.9098908615573507,2.5089917060653333
2020,0.003734949326195344,0.008053166445548272,0.3741932941205839,-1.1976668731229156,1.9710604050988678
2021,0,0,0,0,0
2022,6.250374612748978e-5,0.00473011266159405,0.006250569952737095,-0.9166079724672427,0.9377045779889848
2023,0.008039959786530207,0.005719478729663238,0.8072367056041418,-0.3164993349246803,1.9436406669058215
2024,0.020248233508069848,0.006070743273037523,2.0454619619268533,0.838475210079781,3.2668957491549966
