year,beta,se,pct,ci_low,ci_high
2013,0.16600114126006485,0.0921733869348162,18.057444906497942,-1.4548510118320146,41.433245988843545
2014,0.14522435762030553,0.06448805711357032,15.629896565256352,1.9008492385624631,31.208651150594658
2015,0.023696487018240977,0.11817872455521101,2.3979479656157654,-18.77357468497809,29.087790173006734
2016,0.06037536169705977,0.08730655471631685,6.223519412730671,-10.4830632482937,26.048058455392752
2017,0.002435163099272734,0.11011307762623591,0.24381305171594647,-19.215292604009647,24.390152283279008
2018,0.003244049430229968,0.10433481973566383,0.3249317053185763,-18.229074503172647,23.0888834940159
2019,0.04753288056249993,0.0821034600010431,4.868068176510976,-10.719487235862402,23.177067229958624
2020,0.05359925640210437,0.06233327304724408,5.5061708199771076,-6.62735033811841,19.216409959484416
2021,0,0,0,0,0
2022,-0.009017068139782314,0.03284702273273881,-0.897653629847639,-7.0767265202894,5.692306010012516
2023,-0.0210449640703109,0.04229337159543303,-2.082506411105134,-9.871922971747038,6.380118902633569
2024,0.024237906695905406,0.08177324228740031,2.4534032405306716,-12.718765731905002,20.26296286467355
