year,beta,se,pct,ci_low,ci_high
2013,0.14925088421331964,0.10491807631027343,16.096422027001477,-5.482460608327678,42.60188420287185
2014,0.12951067707913455,0.06975248977134225,13.827126481027463,-0.7175820670106692,30.502610559634924
2015,-0.032061600816891904,0.13466189702599524,-3.155307687988451,-25.62081606212835,26.09568877284678
2016,0.02590768510525327,0.10304630818854894,2.6246206289934237,-16.143180199262154,25.592799539390022
2017,-0.02711544059372157,0.13482726224454153,-2.6751117389775647,-25.276236009207874,26.76200139205662
2018,-0.032747018223752145,0.12576982000518358,-3.2216639823836823,-24.365021843541278,23.832207672011553
2019,-0.009893674901034334,0.09215326026722429,-0.9844893507809371,-17.34631243523207,18.616260665237515
2020,0.03350619809134239,0.07426248325879137,3.4073852990611497,-10.599650506982695,19.60901042365255
2021,0,0,0,0,0
2022,-0.008882622793222893,0.03915882099062479,-0.8843288848401354,-8.206849240847891,7.022323336352576
2023,0.04109026087626003,0.03662479758643139,4.194614827358523,-3.0226774861209726,11.949035894116932
2024,0.1391023626904281,0.06041310984935136,14.92417334586531,2.0910466319230103,29.370459555075247
