"","mean","min","max","variance","p1","p5","p10","p50","p90","p95","p99"
"w3_1",".0174344",".0026454","3.7702",".017877",".0026454",".0026455",".0026456",".0026838",".0048033",".0080381","1"
"w3_2",".0174344","4.71e-19","1.160918",".0129284","1.56e-10","2.28e-08","2.37e-07",".0000629",".0055814",".0238652","1"
"w3_3",".0174419","2.12e-17","1.144705",".0129313","3.97e-10","4.58e-08","3.03e-07",".0000441",".005091",".0255849","1"
"w3_4",".0174344","1.37e-16","1.172856",".0130059","1.01e-09","5.95e-08","3.93e-07",".0000479",".0047196",".0230398","1"
