"","mean","min","max","variance","p1","p5","p10","p50","p90","p95","p99"
"w1_1",".0232458",".0052688","7.519736",".0371924",".0052688",".005269",".0052693",".005346",".0096179",".0161557","1"
"w1_2",".0232458","4.75e-12","2.519256",".0193006","5.93e-10","1.45e-08","1.08e-07",".0001221",".0107196",".0420232","1"
"w1_3",".0232558","1.25e-38","2.929051",".0200319","2.46e-24","1.17e-16","3.59e-13",".000017",".0098987",".0435993","1"
"w1_4",".0232458","2.43e-43","2.836462",".0199985","2.04e-26","4.50e-17","5.97e-13",".0000248",".007466",".0366843","1"
