"","mean","min","max","variance","p1","p5","p10","p50","p90","p95","p99"
"w3_5_early",".0172712","3.11e-07","1",".0091413","6.49e-06",".0000302",".0000661",".0010718",".0222878",".0505916",".3071533"
"w3_6_early",".0172712","9.35e-08","1",".0091326","3.82e-06",".0000259",".0000558",".0010581",".0220023",".0514794",".3102256"
"w3_8_early",".0172712","1.52e-10","1",".0091911","4.01e-08","7.99e-07","3.80e-06",".0005531",".021927",".0541946",".2794846"
"w3_10_early",".0172712","1.98e-10","1",".0091845","3.30e-08","7.21e-07","3.34e-06",".0005234",".0221839",".0532644",".2739484"
"w3_11_early",".0172712","2.57e-09","1",".0094168","1.98e-07","2.18e-06","8.17e-06",".0006706",".0198053",".0518763",".3831899"
"w3_12_early",".0172712","4.82e-11","1",".0093445","4.41e-08","1.16e-06","5.16e-06",".000514",".0203068",".0524897",".3226833"
