"","0","","","1","","","Total","",""
"","mean","variance","count","mean","variance","count","mean","variance","count"
"remesas_pre_avg","12.431","1,006.758","2,303","217.748","80,564.776","20","14.199","2,017.283","2,323"
"log_remesas_pre_avg","1.269","2.102","2,303","4.774","1.313","20","1.299","2.200","2,323"
"viv_emig_00","6.465","47.825","2,303","3.415","7.462","20","6.439","47.554","2,323"
"viv_emig_10","3.905","17.327","2,303","1.367","1.100","20","3.883","17.242","2,323"
"im_2000","0.032","0.955","2,302","-1.429","0.303","20","0.020","0.968","2,322"
"im_2010","0.032","0.955","2,303","-1.396","0.256","20","0.019","0.966","2,323"
"log_poblacion_2010","9.357","2.335","2,303","13.069","1.462","20","9.389","2.445","2,323"
"log_densidad","3.934","2.782","2,303","6.337","2.136","20","3.955","2.824","2,323"
"pea_pct","47.764","73.129","2,303","56.728","5.014","20","47.841","73.227","2,323"
