"","0","","","1","","","Total","",""
"","mean","variance","count","mean","variance","count","mean","variance","count"
"remesas_pre_avg","12.030","898.155","2296","140.646","20895.362","14","12.809","1110.044","2310"
"log_remesas_pre_avg","1.260","2.076","2296","4.441","1.170","14","1.279","2.131","2310"
"viv_emig_00","6.475","47.929","2296","3.943","9.615","14","6.460","47.731","2310"
"viv_emig_10","3.914","17.352","2296","1.550","1.429","14","3.900","17.288","2310"
"im_2000","0.037","0.951","2295","-1.286","0.330","14","0.029","0.957","2309"
"im_2010","0.036","0.950","2296","-1.261","0.284","14","0.028","0.956","2310"
"log_poblacion_2010","9.347","2.305","2296","12.710","1.178","14","9.368","2.366","2310"
"log_densidad","3.928","2.753","2296","5.734","1.146","14","3.939","2.763","2310"
"pea_pct","47.736","73.086","2296","56.225","5.383","14","47.788","73.107","2310"
