"","mean","min","max","variance","p1","p5","p10","p50","p90","p95","p99"
"w11_5",".0172191","3.66e-07","1",".0090756","7.30e-06",".0000337",".0000728",".001136",".0226927",".0493798",".2974939"
"w11_6",".0172191","1.10e-07","1",".0090684","4.31e-06",".0000289",".0000604",".0011149",".0225687",".0497264",".2840995"
"w11_8",".0172191","2.02e-10","1",".0091335","4.77e-08","9.40e-07","4.29e-06",".0005881",".022049",".0539979",".2700533"
"w11_9",".0172191","3.78e-10","1",".0092401","9.22e-08","1.52e-06","6.27e-06",".0006778",".0212494",".0494567",".323491"
"w11_10",".0172191","2.91e-10","1",".0091257","4.36e-08","8.52e-07","3.89e-06",".0005498",".0221323",".0554893",".2612156"
"w11_11",".0172191","3.78e-09","1",".0093281","2.55e-07","2.54e-06","9.29e-06",".0006901",".019872",".0514588",".3621937"
"w11_12",".0172191","7.54e-11","1",".0092767","5.84e-08","1.38e-06","6.03e-06",".0005555",".0204322",".051865",".2994426"
"w11_14",".0172191","1.34e-07","1",".0090532","4.50e-06",".0000278",".0000573",".0010603",".0224822",".05126",".2644556"
