"","mean","min","max","variance","p1","p5","p10","p50","p90","p95","p99"
"w12_5",".0111924","2.94e-08","1",".0060071","9.89e-07","5.75e-06",".0000137",".00033",".0112735",".0296309",".1338913"
"w12_6",".0111924","1.90e-16","1",".0060212","7.61e-10","2.69e-07","1.42e-06",".0002111",".010525",".0308715",".1472442"
"w12_8",".0111924","1.02e-20","1",".0060528","2.64e-12","1.64e-09","2.89e-08",".0000607",".0085662",".0308614",".1908646"
"w12_10",".0111924","3.63e-22","1",".0061344","1.04e-12","1.51e-09","2.75e-08",".000066",".0084228",".0278165",".1939241"
"w12_11",".0111924","3.77e-21","1",".0062276","3.34e-12","2.39e-09","4.35e-08",".0000637",".008032",".0253878",".2453138"
"w12_12",".0111924","6.23e-21","1",".0061067","3.40e-12","2.04e-09","2.82e-08",".0000567",".0083131",".0293891",".2067993"
"w12_16",".0111924","5.33e-16","1",".0061064","1.37e-09","2.37e-07","1.59e-06",".000221",".0093829",".0292049",".1561137"
