"","mean","min","max","variance","p1","p5","p10","p50","p90","p95","p99"
"w3_1",".0174344",".0026454","3.7702",".017877",".0026454",".0026455",".0026456",".0026838",".0048033",".0080381","1"
"w3_2",".0174344","2.63e-11","1.179001",".013289","1.77e-09","2.14e-08","1.13e-07",".0000481",".0043736",".018992","1"
"w3_3",".0174419","9.06e-16","1.58262",".0132511","1.89e-09","1.38e-07","7.48e-07",".0000832",".0060031",".0247901","1"
"w3_4",".0174344","3.11e-14","1.259799",".0130305","6.41e-09","1.63e-07","8.26e-07",".0000721",".0047149",".0212802","1"
