"","0","","","1","","","Total","",""
"","mean","variance","count","mean","variance","count","mean","variance","count"
"remesas_pre_avg","12.030","898.155","2296","397.653","196334.312","6","13.035","1709.188","2302"
"log_remesas_pre_avg","1.260","2.076","2296","5.550","0.913","6","1.271","2.120","2302"
"viv_emig_00","6.475","47.929","2296","2.185","0.763","6","6.464","47.853","2302"
"viv_emig_10","3.914","17.352","2296","0.938","0.150","6","3.906","17.330","2302"
"im_2000","0.037","0.951","2295","-1.762","0.101","6","0.032","0.957","2301"
"im_2010","0.036","0.950","2296","-1.712","0.065","6","0.031","0.956","2302"
"log_poblacion_2010","9.347","2.305","2296","13.909","1.287","6","9.359","2.356","2302"
"log_densidad","3.928","2.753","2296","7.744","1.744","6","3.938","2.788","2302"
"pea_pct","47.736","73.086","2296","57.904","2.688","6","47.763","73.170","2302"
