inegi,share_spanish_born
21119,5.698005698005698
16046,0.7751937984496124
07032,0.5988023952095809
15009,0.5780346820809248
28029,0.5714285714285714
11003,0.4444444444444444
30174,0.36900369003690037
15087,0.35842293906810035
13016,0.3558718861209964
09001,0.3511129777404452
08060,0.3472222222222222
30044,0.3250270855904659
15052,0.3236245954692557
15037,0.31645569620253167
30100,0.3115264797507788
13048,0.3112033195020747
07078,0.30303030303030304
21114,0.2811094452773613
19019,0.23148148148148145
05020,0.23094688221709006
09002,0.17062199472622927
03001,0.15360983102918588
25010,0.15037593984962408
17006,0.13850415512465375
17007,0.132890365448505
30182,0.12987012987012986
14120,0.128783000643915
30115,0.11494252873563218
24028,0.11202389843166542
28036,0.11068068622025456
28039,0.10482180293501049
15055,0.1010611419909045
26030,0.09842519685039369
16099,0.09784735812133072
18017,0.09208103130755065
30186,0.08904719501335707
02001,0.08532423208191127
11017,0.05892751915144372
02004,0.05777007510109763
10005,0.04935834155972359
05035,0.04038772213247173
31050,0.038955979742890535
08018,0.035932446999640676
14039,0.03237817710862879
15011,0.015983377287620875
19039,0.01172882946281961
